fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	ganancia_prom	iteracion
20221002 040555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	705689	0.0507365962683689	0.702162578245625	6991	96	5575	24770000	24423333.3333333	68
20221002 040701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	213	TRUE	909463	0.0507365962683689	0.702162578245625	6991	96	5575	24930000	24550000	69
20221002 040749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	637597	0.0507365962683689	0.702162578245625	6991	96	5575	24210000	24482000	70
20221002 040807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	807299	0.266188048198179	0.988250497542322	3633	152	12480	24400000	24400000	71
20221002 040826	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	962041	0.266188048198179	0.988250497542322	3633	152	12480	24800000	24600000	72
20221002 040844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	705689	0.266188048198179	0.988250497542322	3633	152	12480	23760000	24320000	73
20221002 040907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	909463	0.266188048198179	0.988250497542322	3633	152	12480	24560000	24380000	74
20221002 040926	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	637597	0.266188048198179	0.988250497542322	3633	152	12480	24080000	24320000	75
20221002 041004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	807299	0.0810715321076568	0.946652049748227	2689	789	7684	25680000	25680000	76
20221002 041039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	962041	0.0810715321076568	0.946652049748227	2689	789	7684	25600000	25640000	77
20221002 041120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	705689	0.0810715321076568	0.946652049748227	2689	789	7684	26320000	25866666.6666667	78
20221002 041204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	909463	0.0810715321076568	0.946652049748227	2689	789	7684	25520000	25780000	79
20221002 041243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	637597	0.0810715321076568	0.946652049748227	2689	789	7684	25760000	25776000	80
