Feature	Gain	Cover	Frequency
n_mv_Fvencimiento_rnk	0.00454973287639591	0.00326606137405067	0.00854135949972037
n_Visa_mpagominimo_rnk	0.0045281282713408	0.00416439163316298	0.00701611673191316
cproductos	0.0044919348004668	0.0126105420403586	0.00818546952056536
internet	0.00432821023350931	0.00952063201235059	0.00528750826173166
n_mcomisiones_rnk	0.00431476629640735	0.00098213796782878	0.00589760536885454
n_mcaja_ahorro_dolares_rnk	0.0041653102263622	0.00325061469275168	0.00986323656515329
n_Visa_mfinanciacion_limite_rnk	0.00405266065581922	0.00103403094645568	0.00711779958310031
n_tarjetas_deuda_saldopendiente	0.00395105572812087	0.0015106355642762	0.00879556662768824
n_Visa_msaldototal_rnk	0.00395004838177449	0.000761450493120581	0.00284711983324012
tmobile_app	0.00363040875896487	0.0165425019746714	0.00701611673191316
n_mttarjeta_visa_debitos_automaticos_rnk	0.0034347974087911	0.00114589922499206	0.00691443388072602
ctransferencias_recibidas	0.00333430407143963	0.00756330588166877	0.00737200671106818
ctarjeta_master_transacciones	0.00329903760972839	0.00543107657609944	0.00564339824088668
n_Master_mfinanciacion_limite_rnk	0.00329115845060873	0.00040160319969682	0.00584676394326097
n_mv_mpagospesos_rnk	0.00305075714104393	0.0048622304577019	0.00589760536885454
n_mtransferencias_emitidas_rnk	0.00301787528866057	0.00251569722424669	0.00574508109207382
n_mv_fechaalta_rnk	0.00297247292244795	0.000902971473154892	0.00599928822004169
n_mv_mfinanciacion_limite_rnk	0.00296848884908843	0.000743352762376549	0.00772789669022319
ccajas_transacciones	0.0028858700845373	0.000468450200009139	0.00122019421424577
cpagomiscuentas	0.00287892057924529	0.00179703301695684	0.00569423966648025
n_n_mcomisiones_rnk	0.00276379015824797	0.00222927123335673	0.00442320402664091
n_mtarjeta_master_consumo_rnk	0.00273848045261939	0.0121539607314059	0.00523666683613809
n_visa_deuda_saldopendiente	0.00261819815024236	0.0076370125662958	0.00706695815750674
n_Visa_mconsumospesos_rnk	0.00255078270654671	0.00269054632673758	0.00518582541054451
n_n_transferencias_saldo_rnk	0.00246100954405411	0.00107193419447009	0.0046265697290152
n_Visa_msaldopesos_rnk	0.00242242500811473	0.00160568131942199	0.00391478977070517
ctarjeta_visa_debitos_automaticos	0.00236077657827528	0.000919439521945461	0.00396563119629874
n_n_tarjetas_saldo_total_rnk	0.00235121075687428	0.00785472155315726	0.00452488687782806
ctransferencias_emitidas	0.00233686061407038	0.000627304387179821	0.00477909400579592
n_mextraccion_autoservicio_rnk	0.00231146823919965	0.000916325853107186	0.00472825258020235
n_mv_cconsumos_rnk	0.00226968537883758	0.00120234780303357	0.0048299354313895
n_mtransferencias_recibidas_rnk	0.00219851578640454	0.0023537443883479	0.00472825258020235
n_n_munitario_visa_consumos_nonull_rnk	0.00218563191348287	0.000826266774537894	0.00421983832426661
Master_cconsumos	0.0021836497712105	0.00216176334819692	0.00447404545223448
thomebanking	0.00213965570532446	0.0146431519672353	0.00594844679444812
n_mv_mlimitecompra_rnk	0.00210853181407079	0.000610519414064661	0.00549087396410595
ccaja_ahorro	0.00209724398278457	0.00348652354710632	0.00472825258020235
n_mplazo_fijo_dolares_rnk	0.00198412446157339	0.0204528509744713	0.00706695815750674
n_Visa_mpagospesos_rnk	0.00196519683604736	0.000505752643616744	0.00452488687782806
n_Master_mpagospesos_rnk	0.00187951538227741	0.0067503964911052	0.0046265697290152
ccuenta_debitos_automaticos	0.00185161578599507	0.0159716972339076	0.00605012964563526
n_master_deuda_saldopendiente	0.00181469090027181	0.00349785622022971	0.00376226549392445
n_matm_rnk	0.00179842651057059	0.000547230677851654	0.00310132696120799
n_mpagomiscuentas_rnk	0.00178211719524905	0.00220758820231508	0.00371142406833088
n_n_munitario_visa_consumos_rnk	0.00175513079933042	0.000235832251792777	0.00391478977070517
n_visa_status_bin	0.00172585452478428	0.00303000081658331	0.00218618130052367
n_mv_mconsumospesos_rnk	0.00171781951058226	0.00267631176832932	0.00396563119629874
tcallcenter	0.00165442529158109	0.00296425479034646	0.0028979612588337
n_Visa_mlimitecompra_rnk	0.00165296840367404	0.00109246968909474	0.00411815547307947
